Symbol,Type,Min_order_size,Precision
BTCUSDT,Perpetual contracts,0.001,0.01
ETHUSDT,Perpetual contracts,0.001,0.01
BCHUSDT,Perpetual contracts,0.001,0.01
XRPUSDT,Perpetual contracts,0.1,0.0001
EOSUSDT,Perpetual contracts,0.1,0.001
LTCUSDT,Perpetual contracts,0.001,0.01
TRXUSDT,Perpetual contracts,1,0.00001
ETCUSDT,Perpetual contracts,0.01,0.001
LINKUSDT,Perpetual contracts,0.01,0.001
XLMUSDT,Perpetual contracts,1,0.00001
ADAUSDT,Perpetual contracts,1,0.00001
XMRUSDT,Perpetual contracts,0.001,0.01
THETAUSDT,Perpetual contracts,0.1,0.0001
ALGOUSDT,Perpetual contracts,0.1,0.0001
ZILUSDT,Perpetual contracts,1,0.00001
KNCUSDT,Perpetual contracts,1,0.00001
ZRXUSDT,Perpetual contracts,0.1,0.0001
COMPUSDT,Perpetual contracts,0.001,0.01
OMGUSDT,Perpetual contracts,0.1,0.0001
DOGEUSDT,Perpetual contracts,1,0.000010
SXPUSDT,Perpetual contracts,0.1,0.0001
KAVAUSDT,Perpetual contracts,0.1,0.0001
BANDUSDT,Perpetual contracts,0.1,0.0001
RLCUSDT,Perpetual contracts,0.1,0.0001
DASHUSDT,Perpetual contracts,0.001,0.01
ZECUSDT,Perpetual contracts,0.001,0.01
XTZUSDT,Perpetual contracts,0.1,0.001
BNBUSDT,Perpetual contracts,0.01,0.001
ATOMUSDT,Perpetual contracts,0.01,0.001
ONTUSDT,Perpetual contracts,0.1,0.0001
IOTAUSDT,Perpetual contracts,0.1,0.0001
BATUSDT,Perpetual contracts,0.1,0.0001
VETUSDT,Perpetual contracts,1,0.000001
NEOUSDT,Perpetual contracts,0.01,0.001
QTUMUSDT,Perpetual contracts,0.1,0.001
IOSTUSDT,Perpetual contracts,1,0.000001
WAVESUSDT,Perpetual contracts,0.1,0.0001
MKRUSDT,Perpetual contracts,0.001,0.01
SNXUSDT,Perpetual contracts,0.1,0.001
DOTUSDT,Perpetual contracts,0.1,0.001
DEFIUSDT,Perpetual contracts,0.001,0.1
YFIUSDT,Perpetual contracts,0.001,0.1
BALUSDT,Perpetual contracts,0.1,0.001
CRVUSDT,Perpetual contracts,0.1,0.001
TRBUSDT,Perpetual contracts,0.1,0.001
RUNEUSDT,Perpetual contracts,1,0.0001
SUSHIUSDT,Perpetual contracts,1,0.0001
EGLDUSDT,Perpetual contracts,0.1,0.001
SOLUSDT,Perpetual contracts,1,0.0001
ICXUSDT,Perpetual contracts,1,0.0001
STORJUSDT,Perpetual contracts,1,0.0001
BLZUSDT,Perpetual contracts,1,0.00001
UNIUSDT,Perpetual contracts,1,0.0001
AVAXUSDT,Perpetual contracts,1,0.0001
FTMUSDT,Perpetual contracts,1,0.0001
ENJUSDT,Perpetual contracts,1,0.0001
FLMUSDT,Perpetual contracts,1,0.0001
TOMOUSDT,Perpetual contracts,1,0.0001
RENUSDT,Perpetual contracts,1,0.00001
KSMUSDT,Perpetual contracts,0.1,0.001
NEARUSDT,Perpetual contracts,1,0.0001
AAVEUSDT,Perpetual contracts,0.1,0.001
FILUSDT,Perpetual contracts,0.1,0.001
RSRUSDT,Perpetual contracts,1,0.000001
LRCUSDT,Perpetual contracts,1,0.00001
MATICUSDT,Perpetual contracts,1,0.00001
OCEANUSDT,Perpetual contracts,1,0.00001
BELUSDT,Perpetual contracts,1,0.00001
CTKUSDT,Perpetual contracts,1,0.00001
AXSUSDT,Perpetual contracts,1,0.00001
ALPHAUSDT,Perpetual contracts,1,0.00001
ZENUSDT,Perpetual contracts,0.1,0.001
SKLUSDT,Perpetual contracts,1,0.00001
GRTUSDT,Perpetual contracts,1,0.00001
1INCHUSDT,Perpetual contracts,1,0.0001
BTCBUSD,Perpetual contracts,0.001,0.1
CHZUSDT,Perpetual contracts,1,0.00001
SANDUSDT,Perpetual contracts,1,0.0001
ANKRUSDT,Perpetual contracts,1,0.00001
LITUSDT,Perpetual contracts,0.1,0.001
UNFIUSDT,Perpetual contracts,0.1,0.001
REEFUSDT,Perpetual contracts,1,0.000001
RVNUSDT,Perpetual contracts,1,0.00001
SFPUSDT,Perpetual contracts,1,0.0001
